	19	27	36	43	51	59	60	61
c197337_g1	2.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
c151662_g1	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
c77517_g1	4.00	3.00	16.00	0.00	0.00	8.00	1.00	14.00
c203643_g1	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
c61071_g1	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00
c30103_g1	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
c180291_g1	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
c129380_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
c29782_g1	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
c163554_g1	0.00	0.00	0.00	0.00	1.00	1.00	2.00	0.00
c187786_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c886_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00
c92500_g1	1.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00
c137260_g1	1.00	1.00	1.00	2.00	1.00	0.00	1.00	1.00
c120347_g1	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
c109480_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c14036_g1	0.00	0.00	0.00	3.00	0.00	0.00	0.00	3.00
c138907_g1	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00
c199386_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00
c75649_g1	2.00	2.00	0.00	5.00	1.00	6.00	1.00	9.00
c47931_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c166998_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c74512_g1	0.00	0.00	2.00	2.00	1.00	0.00	1.00	1.00
c109974_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c89773_g2	17.00	39.00	33.00	19.00	15.00	19.00	15.00	39.00
c199496_g1	1.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
c174451_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
c91906_g1	34.00	33.00	41.00	58.00	39.00	20.00	43.00	52.00
c213275_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
c202470_g1	0.00	0.00	0.00	1.00	0.00	0.00	1.00	5.00
c170449_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c157685_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c123393_g1	1.00	3.00	0.00	2.00	0.00	1.00	0.00	4.00
c93341_g1	40877.00	3462.00	4969.00	3557.00	11859.00	1657.00	1665.00	2658.00
c62445_g1	1.00	0.00	0.00	0.00	2.00	2.00	2.00	2.00
c106650_g1	0.00	1.00	0.00	0.00	0.00	4.00	1.00	0.00
c8660_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
c4375_g1	0.00	1.00	0.00	0.00	4.00	0.00	0.00	0.00
c175792_g1	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00
c190369_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c68820_g2	0.00	1.00	1.00	1.00	3.00	0.00	0.00	4.00
c65313_g1	1.00	0.00	0.00	1.00	0.00	4.00	1.00	2.00
c76056_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c3632_g1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
c188638_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c166169_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c14243_g1	1.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00
c118824_g1	0.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00
c8945_g1	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
c75044_g1	0.00	0.00	0.00	2.00	1.00	4.00	1.00	8.00
c29512_g2	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
c17334_g1	0.00	1.00	1.00	0.00	1.00	0.00	0.00	0.00
c1323_g1	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
c59285_g1	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
c97546_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
c41081_g1	2.00	1.00	1.00	0.00	0.00	0.00	0.00	3.00
c23799_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c57546_g1	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00
c194428_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
